ManufacturerInput,PartNumberInternal,PartNumberCross
TE,1393726-7,C42334A43A5,
Vishay,293D104X0035A2TE3,
Vishay,K104K10X7RF5UL2,
Vishay,293D104X0035A2TE3,
Bourns,47Y7249,
Bourns,4610X-104-331/471L,
Digi International,70001806,
Digi International,70001807,
BEL,66K7899,
Microchip,MIC2127AYML-T5,
Microchip,31K2984,
C&K,V80212MS02QE,
C&K,V80212SS05Q,
C&K,V80212MS02Q,
C&K,40M3355,
C&K,79X5922,
ON Semiconductor,FAN48623UC50X,
SCHURTER,0033.3527,
SCHURTER,4305.0048.01,
SCHURTER,4305.0048.03,
SCHURTER,4305.0048.05,
SCHURTER,0033.4604,
SCHURTER,0033.4601,
SCHURTER,4305.0056.05,
TE Connectivity,1-6609130-4,
TE,4-13937,
Analog Devices,160-1710,
Analog Devices,806-7802,
Texas Instruments,865-9896,
Texas Instruments,179-1580,
Microchip,911-5586,
TE,0004-058-100L,
TE,000413-000,FLHTC0311-18-4
TE,0-0058515-1,58515-1
TE,000691-000,RBK-85-KIT-0510-A0
TE,0007-008-100L,
TE,000859-000,TX41AB00-0804
TE,000989-000,D-106-6021
TE,001065-000,209M412-01W
TE,001119-000,TR22BI-TINEL-LOCK-RING
TE,0012450001,TMS-SCE-1/8-2.0-2
TE,001308-000,STD06Y-L
TE,0016072001,DWP-125-1-2-STK
TE,001839-000,55A1111-20-9-9CS2275
TE,001885-000,ST63-4-00
TE,0-0200277-4,
TE,002071-000,222F253-71/86-0
TE,0021032009,RBK-ILS-125-NR3-0-STK
TE,0021036003,RBK-ILS-125-NR3-0-65MM
TE,002308-000,TMS-SCE-1K-3/4-2.0-0
TE,002648-000,STD15W-L
TE,0029813001,VG-95218-T020-A009
TE,0031-067-002,
TE,003201-000,55PC2221-20-2/6-9CS2502
TE,003324-000,STD02W-B
TE,003347-000,RNF-100-3/8-YO-FSP
TE,003547-000,TXR54AC45-0804AI
TE,003667-000,VERSAFIT-3/8-2-FSP
TE,003701-000,VERSAFIT-1/2-2-FSP
TE,003819-000,202F221-71/180-0
TE,0039630001,TMS-SCE-3/8-2.0-S3-9
TE,004009-000,7720C8662-9
TE,004289-000,TXR54AC00-1207AI
TE,0043430001,TMS-SCE-1K-1/8-2.0-4
TE,004487-000,B-150-11-S
TE,004579-000,44AM1121-18-9/96-9CS2275
TE,004671-000,55PC1121-22-9/96-9
TE,004845-000,209M410-19B
TE,004924-000,STD06W-Y
TE,005087-000,202D153-4/86-0
TE,005299-000,B-040-22-N
TE,0059013002,RAY-101-20.0(50)
TE,005930-000,STD02Y-9
TE,006-0937-20A,
TE,006277-000,TXR54AC90-1004AI
TE,006340-000,STD03W-T
TE,006369-000,
TE,0068670009,
TE,0076930001,CM-SCE-1/2-4H-9
TE,007967-000,222K121-100-0
TE,007980-000,STD09Y-7
TE,0081930001,ES-CAP-NO.1-C1-X-30MM
TE,0081930003,ES-CAP-NO.1-C1-X-35MM
TE,008334-000,D-155-0325
TE,008339J001,V4-6.0-0-SP-SM
TE,008426-000,CTA-0055
TE,008735-000,0024G0024-9X
TE,008739-000,TXR54AC00-1810AI
TE,009235-000,462A011-15-CS-2067-0
TE,009801-000,TXR54AB00-1004BI
TE,010083-000,VERSAFIT-3/4-2-FSP
TE,010844-000,7724S3664-9
TE,011083-000,82A0111-8-9
TE,011349-000,HT-920A-124-HTELE-RPL-KIT
TE,0114-201-1278,
TE,011727-000,55A1831-22-2/4/6-9CS2275
TE,012003-000,FLDWC0311-18-1
TE,012017-000,TXR54AB90-1206BI
TE,0120930001,TMS-SCE-1K-3/8-2.0-9
TE,012481-000,HEX40-AC-90-13-A3-C
TE,012751-000,44A0121-22-9/96CS2275
TE,012760-000,222K174-12-0
TE,013055-000,381A301-71/42-0
TE,013206-000,QFT3-130/42-0
TE,0135363001,
TE,013675-000,55PC0212-22-9CS2572
TE,0137310001,RPS-16-10/2.0-S1-9
TE,0138090001,TMS-SCE-1/2-2.0-S1-9
TE,014051-000,44B1811-6-9-9CS2275
TE,014087-000,55PC0216-22-9CS2674
TE,014125-000,DK-621-0037-3PCS1271
TE,0146666001,DSPL-NR3-0-65MM
TE,014811-000,55A7027-20-6/9-5CS2510
TE,014939-000,DK-621-0439-4S
TE,014946-000,202A174-4-00/42-0
TE,0151046001,DSPL-NR2-X-50MM
TE,015462-000,STD06W-W
TE,015711-000,82A5121-10-0/9-9
TE,0160793001,99M0111-22-2L
TE,0162490001,TMS-SCE-1-1/2-2.0-S2-9
TE,016942-000,222K121-25/86-0
TE,017055-000,462A023-4/86-0
TE,0170733001,55M0414-26-3
TE,0181534002,RT555-3/8-0-SP
TE,018307-000,V4-1/16-0-SP
TE,018671-000,222K121-100/86-0
TE,018787-000,
TE,019083-000,VERSAFIT-1-5-FSP
TE,019147-000,TXR40AB00-1007AI
TE,019265-000,462A023-3-G08-0
TE,019350-000,STD01W-W
TE,019439-000,DK-621-0433-1P
TE,019439N001,DK-621-0433-1PCS2674
TE,019601-000,9-1190152-5
TE,020125-000,KTKK-2612A
TE,0201604001,RNF-3000-1.5/0.5-7-SP
Molex,02-06-1101,
Molex,02-06-1103,
Molex,02-06-1104,
Molex,02-06-1118,
Molex,02-06-1131,
Molex,02-06-1132,
Molex,02-06-1141,
Molex,02-06-1202,
Molex,02-06-2101,
Molex,02-06-2103,
Molex,02-06-2131,
Molex,02-06-2132,
Molex,02-06-5100,
Molex,02-06-5101,
Molex,02-06-5102,
Molex,02-06-5103,
Molex,02-06-5108,
Molex,02-06-5130,
Molex,02-06-5135,
Molex,02-06-5139,
Molex,02-06-6100,
Molex,02-06-6101,
Molex,02-06-6102,
Molex,02-06-6103,
Molex,02-06-6105,
Molex,02-06-6118,
Molex,02-06-6119,
Molex,02-06-6122,
Molex,02-06-6130,
Molex,02-06-6135,
Molex,02-06-6138,
Molex,02-06-6139,
Molex,02-06-6143,
Molex,02-06-6144,
Molex,02-06-7103,
Molex,02-06-7104,
Molex,02-06-8103,
Molex,02-07-2101,
Molex,02-08-1001,
Molex,02-08-1002,
Molex,02-08-1003,
Molex,02-08-1004,
Molex,02-08-1101,
Molex,02-08-1102,
Molex,02-08-1103,
Molex,02-08-1201,
Molex,02-08-1202,
Molex,02-08-2003,
Molex,02-08-2004,
Molex,02-08-2005,
Molex,02-08-2006,
Molex,02-08-5101,
Molex,02-09-1102,
Molex,02-09-1104,
Molex,02-09-1115,
Molex,02-09-1117,
Molex,02-09-1119,
Molex,02-09-1134,
Molex,02-09-1153,
Molex,02-09-1205,
Molex,02-09-1206,
Molex,02-09-1615,
Molex,02-09-2101,
Molex,02-09-2103,
Molex,02-09-2105,
